order_id,distance_km,weather,traffic_level,restaurant_load,courier_experience_years,hour,weekday,delivery_time_min
88,13.11,Sunny,low,high,3.2,18,2,45.9
89,17.86,rain,medium,high,6.0,7,1,73.4
90,9.97,rain,high,high,1.7,6,4,69.8
91,3.27,sunny,HIGH,low,,6,5,30.7
92,14.55,snow,low,high,7.5,23,3,72.6
93,15.45,rain,low,low,0.9,22,2,53.9
94,11.66,snow,low,low,6.9,2,6,40.6
95,15.65,rain,high,medium,4.4,2,4,67.0
96,10.38,RAIN,medium,high,1.7,17,1,63.6
97,10.93,RAIN,medium,low,4.5,12,2,38.4
98,9.12,sunny,low,high,2.3,0,5,37.8
99,1.48,sunny,HIGH,medium,4.4,4,3,29.4
100,3.05,snow,low,medium,4.2,3,0,22.5
101,1.6,rain,low,low,7.5,15,6,7.2
102,13.09,Sunny,HIGH,medium,7.9,14,6,47.3
103,6.97,sunny,low,medium,6.3,17,1,28.5
104,10.66,Sunny,high,medium,0.7,16,2,48.4
105,18.24,Sunny,low,high,9.3,13,4,61.9
106,5.74,rain,high,high,7.0,13,4,39.8
107,8.8,snow,low,low,0.8,18,2,53.2
108,15.36,rain,medium,low,8.3,5,4,55.7
109,5.35,sunny,HIGH,medium,,12,6,32.4
110,2.46,Sunny,medium,medium,6.0,17,6,14.1
111,6.51,rain,low,low,4.9,14,6,28.4
112,4.06,rain,low,medium,4.5,22,2,24.5
113,18.66,rain,high,low,9.0,6,1,68.2
114,16.35,sunny,low,high,4.7,18,6,57.9
115,13.03,snow,low,medium,1.2,16,4,65.2
116,17.56,rain,low,medium,9.5,8,1,58.6
117,16.27,sunny,medium,medium,9.2,10,3,51.9
118,4.54,Sunny,high,high,7.0,4,3,30.1
119,17.96,RAIN,medium,high,4.9,1,3,74.8
120,11.25,sunny,high,medium,1.4,14,3,52.1
121,16.34,RAIN,medium,low,8.0,23,4,56.8
122,18.03,rain,low,high,1.2,11,2,70.0
123,7.04,rain,medium,medium,1.2,9,4,42.4
124,3.09,sunny,medium,medium,5.6,9,5,18.5
125,5.33,RAIN,high,high,2.0,19,4,53.8
126,9.12,rain,high,low,0.6,10,1,52.0
127,16.54,Sunny,medium,medium,4.5,9,2,54.7
128,17.35,snow,high,low,1.8,6,6,85.2
129,1.13,snow,high,low,2.0,13,0,33.8
130,10.7,rain,high,high,1.2,12,0,69.8
131,8.93,RAIN,HIGH,medium,2.4,4,6,53.7
132,5.22,rain,high,medium,7.3,18,2,38.0
133,3.28,RAIN,HIGH,low,8.2,9,0,23.4
134,7.41,Sunny,HIGH,high,4.8,7,2,40.6
135,18.92,RAIN,high,high,5.3,17,1,82.9
136,7.14,rain,medium,high,0.8,0,1,50.9
137,10.86,Sunny,high,low,1.2,4,4,49.2
138,14.36,sunny,low,low,2.9,10,0,47.4
139,7.91,snow,medium,medium,5.7,19,6,54.4
140,19.46,rain,HIGH,high,7.5,10,2,93.9
141,19.29,,HIGH,low,6.2,15,1,76.6
142,5.78,rain,medium,high,4.2,9,4,42.9
143,10.45,Sunny,medium,low,1.6,14,0,30.5
144,6.72,sunny,high,medium,7.9,6,0,28.2
145,6.41,RAIN,HIGH,high,4.0,14,0,55.4
146,1.7,sunny,low,low,7.5,15,1,5.0
147,12.58,Sunny,high,high,5.4,5,1,60.8
148,10.55,,medium,low,7.5,10,0,25.2
149,1.98,snow,HIGH,low,9.1,16,1,32.4
150,6.29,rain,medium,low,9.2,14,0,17.7
151,18.26,RAIN,medium,high,5.6,15,3,70.9
152,5.55,snow,medium,low,5.4,23,1,38.8
153,3.75,rain,high,medium,3.0,1,2,44.5
154,10.3,snow,low,high,9.4,3,1,54.2
155,19.73,sunny,low,medium,4.9,18,0,56.7
156,5.6,Sunny,HIGH,medium,1.7,5,2,40.4
157,13.77,rain,medium,high,4.6,17,4,61.9
158,15.47,RAIN,low,low,1.7,20,2,53.6
159,5.52,sunny,,medium,5.3,10,2,28.9
160,14.84,rain,HIGH,high,5.8,8,1,79.4
161,7.99,sunny,medium,low,3.7,2,5,24.3
162,13.01,RAIN,low,high,1.2,1,2,61.2
163,13.04,rain,medium,high,9.5,17,2,57.9
164,11.18,RAIN,low,high,7.8,14,6,50.5
165,2.72,snow,HIGH,low,8.5,21,0,27.3
166,16.87,RAIN,medium,medium,4.0,17,1,73.9
167,7.09,snow,low,medium,7.7,18,0,36.7
168,4.54,rain,HIGH,high,5.1,14,1,46.5
169,1.77,snow,medium,high,2.4,16,4,46.5
170,12.23,rain,HIGH,low,1.7,17,5,58.9
171,13.87,rain,low,high,3.8,17,2,66.5
172,1.32,Sunny,medium,high,1.8,10,6,21.6
173,10.73,rain,medium,high,,17,1,50.7
174,5.3,snow,medium,medium,1.0,22,2,47.8
175,13.26,Sunny,HIGH,high,4.7,2,2,66.0
176,4.31,Sunny,HIGH,medium,4.8,12,3,32.0
177,14.13,rain,low,low,3.4,13,0,53.6
178,8.35,RAIN,high,low,5.9,3,5,47.9
179,18.8,RAIN,medium,medium,1.9,17,6,72.2
180,3.61,Sunny,medium,medium,7.9,4,1,20.6
181,7.48,rain,low,medium,3.7,13,4,26.5
182,3.16,RAIN,medium,medium,6.1,11,5,21.0
183,18.57,rain,HIGH,high,7.3,6,3,86.3
184,17.67,rain,HIGH,medium,8.9,11,0,68.5
185,5.9,Sunny,medium,medium,8.4,7,4,21.0
186,13.54,Sunny,medium,medium,6.3,20,4,48.8
187,16.53,sunny,HIGH,high,,20,2,71.0
188,11.55,RAIN,medium,high,5.3,2,0,60.6
189,11.06,RAIN,HIGH,high,7.8,21,3,68.0
190,5.6,RAIN,high,low,8.8,0,1,21.6
191,2.77,snow,high,high,1.5,2,1,57.4
192,18.05,rain,medium,medium,4.2,10,3,73.0
193,18.11,Sunny,medium,high,7.9,17,2,60.3
194,13.03,RAIN,medium,high,4.6,6,2,57.6
195,7.44,sunny,HIGH,medium,3.7,8,4,36.4
196,7.63,RAIN,high,high,4.4,3,0,56.7
197,14.79,rain,high,low,6.2,22,4,58.2
198,18.05,rain,low,high,10.0,23,6,69.9
199,17.85,Sunny,low,low,5.2,9,6,49.4
200,15.82,,medium,low,2.5,17,1,71.3
201,13.2,Sunny,HIGH,low,2.0,22,3,58.5
202,2.6,RAIN,medium,medium,0.9,15,0,31.9
203,4.07,sunny,high,high,5.8,11,3,36.7
204,18.07,Sunny,,low,5.7,18,0,46.2
205,12.52,snow,medium,low,2.4,23,5,65.5
206,1.17,Sunny,high,high,7.1,21,1,31.3
207,2.93,rain,high,medium,7.5,2,1,30.1
208,13.61,RAIN,high,medium,3.0,7,5,65.2
209,1.1,RAIN,high,low,3.8,18,0,27.5
210,4.06,RAIN,low,medium,9.9,8,2,8.2
211,11.43,RAIN,HIGH,high,4.1,18,0,71.4
212,14.15,RAIN,HIGH,medium,7.7,16,1,72.7
213,13.39,RAIN,high,high,4.8,12,6,72.5
214,5.26,sunny,HIGH,low,8.0,1,3,22.4
215,14.53,snow,HIGH,high,7.8,3,4,84.7
216,5.51,RAIN,HIGH,low,6.8,10,3,38.6
217,7.18,snow,HIGH,high,8.6,1,1,61.8
218,15.18,RAIN,high,high,9.4,3,3,72.5
219,13.34,Sunny,medium,medium,6.0,3,2,37.2
220,17.14,RAIN,medium,high,2.8,19,2,78.5
221,13.49,rain,medium,low,4.3,0,6,50.0
222,11.8,sunny,,high,7.7,10,0,31.0
223,2.78,Sunny,HIGH,low,6.7,22,3,10.3
224,7.99,,high,low,2.2,1,3,33.3
225,6.04,,high,high,1.0,18,1,53.9
226,5.64,RAIN,low,medium,7.0,7,0,25.4
227,19.49,sunny,high,high,2.9,22,0,84.4
228,8.47,Sunny,medium,high,5.2,19,3,38.9
229,17.95,sunny,low,medium,7.6,3,4,63.0
230,12.99,Sunny,high,low,5.8,15,3,44.8
231,16.1,RAIN,low,high,1.3,14,3,67.4
232,10.55,Sunny,low,medium,2.3,4,3,43.7
233,11.96,Sunny,high,medium,2.6,4,2,62.1
234,10.36,snow,medium,low,2.9,14,5,47.2
235,4.71,RAIN,high,medium,5.9,22,0,45.1
236,14.73,rain,HIGH,low,5.3,16,5,53.6
237,6.33,rain,HIGH,high,2.4,2,2,70.5
238,1.46,RAIN,high,medium,1.1,17,4,44.0
239,13.26,rain,medium,high,2.1,10,1,69.9
240,4.37,RAIN,HIGH,medium,9.9,5,6,37.5
241,18.87,rain,HIGH,medium,5.0,11,4,84.8
242,19.12,snow,high,high,8.7,21,0,93.6
243,18.38,rain,high,medium,8.6,16,1,82.8
244,8.03,Sunny,high,high,5.4,13,5,54.4
245,1.29,RAIN,,high,7.2,5,4,16.6
246,18.64,sunny,low,low,2.3,9,0,53.0
247,9.14,sunny,low,high,7.0,15,6,27.9
248,19.37,RAIN,high,low,3.1,17,6,79.2
249,19.31,snow,medium,high,8.4,19,4,86.5
250,17.21,rain,HIGH,medium,1.3,5,1,88.3
251,6.59,snow,low,high,7.8,18,1,53.4
252,8.32,sunny,medium,medium,1.4,2,4,30.0
253,17.17,RAIN,high,low,8.9,11,2,69.7
254,7.02,RAIN,low,medium,3.4,15,4,38.4
255,4.22,snow,high,high,6.7,2,5,45.9
256,11.58,snow,medium,medium,5.1,15,4,65.4
257,18.79,rain,low,low,,3,4,54.2
258,14.22,Sunny,low,medium,6.6,19,2,39.2
259,11.83,Sunny,low,medium,9.5,12,3,26.6
260,2.85,rain,low,high,0.9,3,1,24.6
261,12.69,Sunny,medium,high,9.2,3,5,52.5
262,19.81,sunny,low,medium,6.3,6,0,54.2
263,3.66,Sunny,HIGH,low,8.2,20,1,14.2
264,10.85,rain,HIGH,medium,4.1,11,1,59.6
265,17.67,Sunny,high,low,5.0,1,3,65.7
266,15.07,RAIN,low,low,8.8,15,1,39.8
267,14.24,snow,HIGH,low,4.4,6,1,74.9
268,14.35,sunny,HIGH,medium,5.6,18,2,57.2
269,7.83,,HIGH,low,0.7,10,2,42.6
270,6.58,RAIN,medium,medium,2.0,0,2,44.4
271,16.38,rain,low,low,6.6,8,2,61.6
272,16.39,snow,medium,low,7.3,4,2,66.4
273,17.47,snow,medium,medium,6.0,16,5,74.2
274,18.35,sunny,,high,,0,0,79.1
275,10.72,rain,HIGH,high,4.7,16,3,70.6
276,10.53,sunny,high,medium,3.9,11,4,49.0
277,16.17,Sunny,low,medium,5.2,12,6,44.0
278,13.35,RAIN,low,high,,23,5,46.0
279,14.34,sunny,HIGH,high,7.9,10,2,65.4
280,16.12,RAIN,HIGH,high,1.3,12,3,80.5
281,17.91,rain,low,medium,,12,4,57.9
282,7.42,Sunny,high,low,5.0,5,1,39.4
283,8.14,rain,HIGH,medium,7.6,21,5,43.1
284,2.79,Sunny,high,high,1.8,5,1,41.5
285,11.99,Sunny,medium,low,6.9,19,3,27.6
286,1.68,RAIN,HIGH,medium,2.7,20,0,38.2
287,9.85,rain,medium,high,4.7,9,0,56.8
288,11.31,rain,HIGH,medium,0.7,18,3,67.5
289,6.44,sunny,medium,low,1.9,2,6,19.0
290,12.23,rain,HIGH,high,1.4,6,6,78.2
291,1.58,sunny,high,medium,2.8,4,0,25.3
292,1.71,snow,high,low,,7,6,47.8
293,16.63,snow,high,low,7.1,4,0,73.3
294,7.84,snow,medium,medium,0.8,11,1,61.0
295,3.41,rain,high,low,6.4,3,6,23.0
296,10.92,rain,medium,high,1.8,18,0,59.4
297,15.63,sunny,HIGH,low,9.5,17,0,47.3
298,5.1,Sunny,medium,medium,9.4,2,3,13.5
299,12.83,sunny,,high,2.6,6,0,64.6
300,2.62,snow,low,low,6.3,7,6,27.5
301,1.98,sunny,low,low,0.8,14,6,7.3
302,11.1,Sunny,low,high,9.4,20,5,43.2
303,11.27,rain,medium,high,5.5,16,2,57.3
304,13.11,sunny,low,low,0.9,18,2,44.7
305,14.8,snow,low,high,3.8,3,3,76.0
306,19.54,snow,low,medium,1.2,15,2,80.2
307,10.81,rain,HIGH,low,4.2,12,1,57.7
308,7.14,sunny,high,medium,6.9,11,5,42.6
309,16.11,Sunny,medium,low,5.0,3,5,50.5
310,6.15,rain,low,medium,4.1,11,3,34.7
311,9.34,sunny,HIGH,medium,,16,6,54.5
312,2.49,RAIN,high,high,2.8,8,0,42.8
313,1.48,snow,high,low,1.5,11,2,34.1
314,19.29,Sunny,high,high,8.2,14,1,79.8
315,16.88,Sunny,HIGH,high,1.8,19,6,87.1
316,14.22,Sunny,low,low,6.2,1,3,36.7
317,8.77,snow,high,medium,3.8,8,6,66.9
318,4.29,sunny,HIGH,low,2.6,13,3,25.1
319,3.97,rain,HIGH,low,6.6,3,0,30.5
320,5.75,sunny,medium,low,4.8,3,4,13.8
321,11.44,rain,HIGH,high,4.3,5,2,71.9
322,14.58,Sunny,high,low,6.1,23,1,55.8
323,13.54,sunny,high,low,,4,3,41.9
324,6.32,Sunny,HIGH,low,3.4,23,6,22.4
325,19.14,RAIN,high,medium,5.8,16,2,73.7
326,15.02,Sunny,HIGH,medium,6.9,12,6,66.2
327,11.53,Sunny,high,medium,0.8,19,1,51.0
328,12.62,rain,medium,medium,4.9,16,5,55.7
329,8.97,RAIN,low,high,1.0,18,5,59.6
330,5.71,Sunny,medium,high,2.3,22,1,36.0
331,7.76,Sunny,medium,low,5.8,0,5,23.9
332,15.4,RAIN,low,high,8.7,20,3,56.5
333,1.27,RAIN,high,medium,8.9,16,2,26.8
334,3.21,sunny,low,low,1.2,21,1,5.0
335,1.87,rain,HIGH,low,4.5,2,3,15.7
336,1.77,RAIN,low,medium,6.0,13,2,15.4
337,17.25,RAIN,medium,medium,1.9,11,2,73.1
338,14.37,snow,low,medium,7.8,14,3,58.1
339,10.01,RAIN,high,high,7.6,5,2,57.2
340,2.86,rain,medium,low,9.1,19,4,11.6
341,10.34,Sunny,HIGH,medium,0.6,21,1,48.7
342,10.0,Sunny,high,low,2.6,1,1,45.6
343,4.29,Sunny,medium,low,8.4,3,2,10.0
344,9.24,Sunny,HIGH,high,6.9,12,3,57.6
345,8.57,snow,high,low,9.0,12,0,48.1
346,12.7,RAIN,HIGH,medium,1.0,22,5,69.2
347,13.07,Sunny,low,medium,6.2,21,2,39.6
348,1.86,sunny,low,low,5.9,22,0,5.0
349,8.12,Sunny,HIGH,low,0.8,16,2,28.5
350,12.89,RAIN,low,high,5.4,5,0,59.4
351,10.56,Sunny,HIGH,medium,6.3,10,2,57.8
352,17.27,snow,high,medium,2.3,18,3,96.0
353,13.52,rain,medium,low,3.1,15,5,61.6
354,4.1,rain,HIGH,low,6.6,7,6,33.9
355,2.34,RAIN,medium,low,4.9,0,6,15.4
356,13.21,rain,medium,medium,8.7,9,0,54.2
357,1.5,rain,HIGH,low,3.8,1,4,30.3
358,12.13,sunny,low,high,3.0,18,3,39.8
359,18.86,RAIN,high,high,9.9,13,5,86.9
360,11.93,RAIN,medium,low,9.2,2,2,39.3
361,8.38,rain,high,high,0.8,22,0,71.6
362,13.22,rain,medium,high,7.8,23,5,62.2
363,9.71,rain,HIGH,high,1.5,8,1,55.0
364,11.37,snow,low,high,0.8,22,3,70.3
365,18.89,Sunny,high,high,3.1,7,0,72.6
366,8.34,snow,medium,medium,3.1,10,3,59.7
367,19.26,RAIN,HIGH,low,,14,0,69.0
368,18.2,sunny,HIGH,high,7.3,5,6,70.2
369,4.72,Sunny,medium,low,9.8,1,1,5.0
370,2.32,sunny,medium,high,7.3,0,4,13.7
371,2.91,RAIN,medium,medium,4.5,2,1,24.6
372,1.35,RAIN,low,medium,7.1,22,2,8.2
373,2.79,sunny,medium,high,10.0,17,3,14.9
374,13.98,sunny,medium,high,7.2,13,4,45.6
375,2.35,sunny,low,high,7.7,16,3,11.6
376,7.06,RAIN,HIGH,medium,9.4,1,5,49.0
377,17.05,rain,medium,medium,1.6,18,0,69.0
378,1.44,sunny,high,low,7.2,21,2,13.8
379,16.47,Sunny,,medium,8.6,8,2,54.8
380,6.36,RAIN,high,high,9.6,7,3,50.5
381,3.25,snow,medium,low,2.5,9,6,37.4
382,14.24,snow,low,medium,5.3,8,2,70.5
383,12.95,Sunny,low,medium,7.0,7,3,38.5
384,17.67,rain,low,high,2.9,6,0,77.9
385,14.97,sunny,medium,low,6.2,21,0,36.1
386,16.27,RAIN,medium,medium,2.9,23,3,65.4
387,6.36,sunny,high,medium,3.7,5,1,32.6
388,4.37,RAIN,low,high,4.7,1,1,34.1
389,15.26,snow,medium,low,5.5,8,0,61.5
390,16.33,sunny,HIGH,low,4.8,8,4,61.7
391,19.82,Sunny,medium,low,5.2,18,1,70.6
392,8.84,rain,medium,low,3.3,8,3,40.7
393,8.07,Sunny,HIGH,high,2.0,1,0,58.9
394,15.75,rain,,medium,0.9,18,2,57.2
395,7.48,sunny,HIGH,medium,2.4,15,2,41.1
396,18.68,sunny,low,low,6.0,21,6,49.9
397,17.31,rain,HIGH,low,8.0,13,1,67.7
398,9.15,snow,high,low,2.1,19,4,69.1
399,15.27,RAIN,low,medium,1.5,23,5,57.3
400,15.34,Sunny,medium,medium,7.6,0,1,50.5
401,2.96,Sunny,high,low,3.4,12,4,7.7
402,18.15,Sunny,low,high,9.5,21,1,60.2
403,10.6,,low,medium,7.3,1,2,32.6
404,16.7,Sunny,low,medium,3.6,21,4,52.5
405,7.08,RAIN,HIGH,low,3.3,13,2,44.3
406,18.01,RAIN,low,high,5.5,0,6,69.6
407,8.39,rain,medium,low,1.3,14,3,32.5
408,1.21,sunny,low,low,1.6,17,3,5.0
409,18.2,RAIN,medium,high,2.2,8,0,77.7
410,2.73,snow,medium,high,7.9,21,2,32.2
411,7.07,sunny,medium,high,5.4,7,2,28.1
412,19.05,sunny,high,medium,0.6,6,6,74.3
413,19.06,RAIN,medium,low,6.9,8,0,62.1
414,11.9,snow,HIGH,medium,4.5,8,3,73.0
415,13.0,rain,low,high,5.4,10,3,51.4
416,9.52,RAIN,HIGH,medium,2.5,3,4,52.9
417,6.57,snow,high,high,5.7,6,4,59.8
418,7.24,sunny,low,high,9.8,20,5,27.1
419,13.78,snow,medium,low,1.2,6,6,58.9
420,15.3,sunny,low,low,3.2,3,3,39.5
421,16.04,RAIN,high,low,2.8,11,5,74.6
422,16.0,RAIN,high,medium,2.9,16,1,72.5
423,2.73,Sunny,HIGH,low,4.1,19,2,12.0
424,10.39,Sunny,low,high,8.3,2,4,35.8
425,2.09,Sunny,low,low,9.2,8,1,5.0
426,11.44,RAIN,low,medium,2.4,4,4,34.6
427,9.39,rain,HIGH,low,5.7,19,0,47.3
428,17.87,RAIN,high,low,6.6,15,2,75.0
429,7.67,snow,medium,low,5.5,7,5,41.3
430,3.22,RAIN,low,medium,4.6,20,5,26.4
431,3.72,RAIN,HIGH,high,2.3,15,4,51.6
432,177.14226094012628,sunny,HIGH,high,5.1,18,3,66.0
433,12.75,sunny,medium,high,4.3,15,6,63.3
434,2.92,sunny,high,low,8.1,17,5,15.6
435,2.6,RAIN,low,low,7.8,14,0,10.6
436,14.32,rain,low,medium,1.8,23,0,52.8
437,2.38,snow,HIGH,high,1.3,17,3,47.9
438,16.62,snow,high,low,9.1,13,0,68.5
439,14.42,rain,low,low,,23,6,51.1
440,2.55,rain,medium,low,8.6,15,2,20.9
441,2.61,snow,high,medium,1.1,4,4,50.0
442,19.75,Sunny,high,high,5.5,7,0,83.1
443,8.11,sunny,HIGH,medium,5.6,15,2,44.4
444,8.04,sunny,HIGH,high,8.7,20,3,50.6
445,16.44,snow,low,high,1.4,0,4,75.4
446,19.0,rain,HIGH,low,2.8,10,3,86.8
447,19.73,Sunny,high,low,4.4,10,4,67.0
448,15.31,snow,,low,8.7,1,6,60.9
449,8.15,sunny,low,low,9.4,21,0,7.8
450,2.59,RAIN,high,low,9.9,18,0,26.1
451,15.77,rain,low,high,9.6,23,4,53.6
452,11.61,RAIN,medium,low,0.6,4,2,54.7
453,9.06,snow,medium,low,1.0,2,2,54.2
454,18.22,sunny,low,medium,,22,2,51.5
455,3.11,Sunny,HIGH,medium,3.8,7,1,33.1
456,10.36,RAIN,medium,high,8.4,3,5,46.1
457,1.22,Sunny,low,high,9.0,12,5,13.6
458,9.9,sunny,medium,medium,2.3,21,5,39.7
459,2.07,RAIN,HIGH,medium,6.4,13,2,24.3
460,3.26,Sunny,high,low,9.2,0,0,8.7
461,3.23,Sunny,low,low,4.9,4,6,23.3
462,13.33,RAIN,low,high,1.5,20,1,74.7
463,15.17,sunny,low,medium,4.8,6,2,45.7
464,12.08,Sunny,low,high,4.1,22,0,48.4
465,19.28,snow,low,low,6.0,5,1,76.7
466,8.12,RAIN,low,high,4.7,14,0,37.3
467,6.43,rain,HIGH,high,0.7,14,4,61.9
468,17.5,,high,high,,7,0,85.6
469,5.25,sunny,HIGH,low,5.7,1,1,25.7
470,19.3,snow,HIGH,high,5.0,13,2,108.9
471,1.23,Sunny,high,low,9.6,15,5,7.9
472,19.43,rain,HIGH,medium,2.0,22,1,93.4
473,1.82,sunny,medium,high,2.3,9,2,23.9
474,17.93,snow,HIGH,high,8.2,14,2,86.3
475,11.03,snow,low,low,3.0,22,6,54.2
476,19.87,sunny,medium,high,8.1,3,3,76.4
477,2.4,sunny,medium,low,3.1,11,6,7.7
478,11.52,Sunny,high,high,0.8,9,4,56.9
479,19.42,sunny,HIGH,medium,5.4,1,3,78.1
480,10.94,Sunny,HIGH,medium,2.4,3,5,53.5
481,12.96,Sunny,medium,medium,7.7,19,1,43.1
482,14.22,RAIN,HIGH,high,6.6,5,3,75.7
483,9.64,snow,HIGH,high,9.3,13,5,72.8
484,12.92,snow,high,medium,7.9,22,2,72.7
485,12.1,snow,medium,medium,2.2,2,1,63.3
486,18.12,RAIN,low,low,8.1,14,3,46.6
487,1.86,Sunny,medium,low,6.6,0,0,5.0
488,6.34,Sunny,high,medium,6.9,18,5,37.3
489,19.06,sunny,high,medium,8.4,0,5,67.4
490,17.92,RAIN,high,high,6.0,12,4,91.1
491,9.66,sunny,HIGH,medium,4.9,7,0,38.0
492,12.78,RAIN,medium,low,6.5,17,1,40.5
493,6.27,sunny,HIGH,low,3.3,21,3,24.5
494,4.57,rain,HIGH,low,,2,2,36.7
495,9.81,snow,medium,low,6.4,22,3,55.7
496,7.71,snow,high,low,,17,6,66.1
497,12.09,,,low,1.3,19,1,40.0
498,2.48,rain,low,medium,0.5,8,1,14.1
499,19.51,snow,medium,low,6.3,5,1,72.2
500,19.74,Sunny,medium,low,3.9,19,1,44.3
501,14.27,rain,high,low,7.6,1,6,59.5
502,11.19,snow,medium,low,4.1,3,5,61.8
503,6.88,sunny,medium,medium,5.1,17,3,30.6
504,16.46,RAIN,high,high,4.4,6,0,75.3
505,14.01,rain,high,high,6.7,10,2,80.9
506,4.09,Sunny,HIGH,high,3.9,4,2,43.6
507,18.31,rain,medium,high,9.7,7,4,81.0
508,16.63,Sunny,low,low,9.4,10,5,44.2
509,19.05,rain,medium,high,8.6,23,1,74.2
510,14.79,Sunny,low,high,9.2,19,1,39.1
511,12.65,snow,low,medium,4.8,19,1,65.0
512,8.95,sunny,low,medium,5.6,14,5,31.0
